"cboocupacao2002";"nome_cbo_ocupacao";"mediana_vinculos";"mediana_rendimentos";"vinculos_ultimo_ano";"media_rendimento_ultimo_ano";"media_salario_hora_ultimo_ano";"vinculos_primeiro_ano";"media_rendimento_primeiro_ano";"media_salario_hora_primeiro_ano";"variacao_rendimentos";"variacao_vinculos";"cbo";"codigo_cbo"
"131310";"Diretor de instituição educacional pública";"13,5";"5351,308103332980";"17";"5441,409656247470";"30,91710031958790";"13";"3842,973119624542";"21,99040408353021";"1,68372949519335e-02";"0,25925925925925930";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"13"
"131315";"Gerente de instituição educacional da área privada";"55,0";"20278,961719170977";"59";"19813,710650269772";"120,47637169289339";"38";"18024,197466074664";"113,07755641933188";"-2,29425488022582e-02";"0,07272727272727275";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"13"
"131320";"Gerente de serviços educacionais da área pública";"1,5";"22559,145528005429";NA;NA;NA;"1";"7248,768319633146";"41,18618363427924";NA;NA;"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"13"
"141105";"Gerente de produção e operações  aqüícolas";"10,0";"5770,975512907940";"9";"5819,863089799567";"33,06740391931572";"13";"4308,629647172581";"24,48085026802602";"8,47128475632597e-03";"-0,09999999999999998";"GERENTES";"14"
"141110";"Gerente de produção e operações  florestais";"5,0";"4297,796194199199";"5";"2579,588691215064";"14,65675392735832";"3";"12028,721368978746";"68,34500777828833";"-3,99788036785743e-01";"0,00000000000000000";"GERENTES";"14"
"141115";"Gerente de produção e operações agropecuárias";"43,5";"3961,602250699195";"44";"4627,206070488440";"26,87656488158471";"34";"4173,833761550929";"23,71496455426664";"1,68013792821268e-01";"0,01149425287356332";"GERENTES";"14"
"141120";"Gerente de produção e operações pesqueiras";"2,0";"2075,458104095571";NA;NA;NA;"2";"2075,458104095571";"11,79237559145211";NA;NA;"GERENTES";"14"
"141205";"Gerente de produção e operações";"469,5";"7431,440307110925";"545";"5724,740500616577";"33,71239293916653";"471";"8885,420888162329";"52,01883681456255";"-2,29659357535478e-01";"0,16080937167199139";"GERENTES";"14"
"141305";"Gerente de produção e operações da construção civil e obras públicas";"111,0";"15504,485644904664";"97";"7645,617103912450";"43,61875875126596";"226";"19179,697008690753";"109,27000263063277";"-5,06877088410535e-01";"-0,12612612612612617";"GERENTES";"14"
"141405";"Comerciante atacadista";"117,0";"3965,808256671991";"32";"4122,246804900264";"24,83433669697719";"227";"3932,036241096398";"22,34111500622953";"3,94468259944447e-02";"-0,72649572649572647";"GERENTES";"14"
"141410";"Comerciante varejista";"658,0";"2869,380851361302";"647";"3091,118841326287";"17,71362907344789";"971";"2119,949120313592";"12,11438795325122";"7,72772948072709e-02";"-0,01671732522796354";"GERENTES";"14"
"141415";"Gerente de loja e supermercado";"1990,5";"5368,926407711150";"2172";"4317,431936830701";"25,16902520046103";"1989";"5713,603169521601";"32,77551007547726";"-1,95848181001370e-01";"0,09118311981914085";"GERENTES";"14"
"141420";"Gerente de operações de serviços de assistência técnica";"105,5";"7425,990968611100";"101";"7640,410001318105";"44,46531940974153";"110";"7342,400993401656";"42,32584525830328";"2,88741305521825e-02";"-0,04265402843601895";"GERENTES";"14"
"141505";"Gerente de hotel";"110,5";"6894,713914394300";"86";"5023,657410166593";"28,93285709993690";"117";"5800,783699315135";"34,94916349768562";"-2,71375509913681e-01";"-0,22171945701357465";"GERENTES";"14"
"141510";"Gerente de restaurante";"906,5";"3502,295676534821";"1125";"3139,499436951893";"18,33023143124792";"766";"3532,472114382379";"20,78311686851713";"-1,03588124216251e-01";"0,24103695532266967";"GERENTES";"14"
"141515";"Gerente de bar";"440,0";"2840,468413510126";"297";"2741,811513095705";"16,13134177293164";"440";"2613,175483094859";"14,90896728307025";"-3,47326166153368e-02";"-0,32499999999999996";"GERENTES";"14"
"141520";"Gerente de pensão";"1,5";"2235,962677064700";NA;NA;NA;"1";"4568,908679452634";"25,95970840598087";NA;NA;"GERENTES";"14"
"141525";"Gerente de turismo";"8,0";"5219,342473760914";"5";"5243,499449547277";"30,33845779787969";"9";"3642,848138268754";"20,69800078561792";"4,62835614022405e-03";"-0,37500000000000000";"GERENTES";"14"
"141605";"Gerente de operações de transportes";"111,5";"7528,893930843818";"110";"7177,377793900731";"42,02997811432090";"121";"7652,675940125432";"44,01168523749006";"-4,66889479612697e-02";"-0,01345291479820632";"GERENTES";"14"
"141610";"Gerente de operações de correios e telecomunicações";"41,0";"12537,707297953129";"37";"12848,599273797614";"76,18780601846949";"56";"17782,945718547318";"109,99656560336233";"2,47965571739930e-02";"-0,09756097560975607";"GERENTES";"14"
"141615";"Gerente de logística (armazenagem e distribuição)";"298,5";"6151,312656468737";"317";"5829,802550523796";"33,38039761197727";"223";"5704,413951058482";"32,66781939701630";"-5,22669101540206e-02";"0,06197654941373543";"GERENTES";"14"
"141705";"Gerente de produtos bancários";"43,5";"20839,005964654440";"57";"19268,473081441130";"129,33164405328290";"64";"19573,779894548872";"118,83549931878943";"-7,53650575213198e-02";"0,31034482758620685";"GERENTES";"14"
"141710";"Gerente de agência";"212,5";"17212,650526391390";"173";"10342,509225838416";"61,22642542614732";"234";"17023,829997988447";"105,71292455679337";"-3,99133258995719e-01";"-0,18588235294117650";"GERENTES";"14"
"141715";"Gerente de câmbio e comércio exterior";"4,5";"21879,965846094012";"4";"28941,358482970583";"191,05329677780574";"1";"49536,071416988634";"281,45495123288998";"3,22733256831713e-01";"-0,11111111111111116";"GERENTES";"14"
"141720";"Gerente de crédito e cobrança";"50,0";"7308,647918038396";"36";"6262,921965199680";"36,70541721041266";"67";"7653,781983225746";"44,57918977785547";"-1,43080630585278e-01";"-0,28000000000000003";"GERENTES";"14"
"141725";"Gerente de crédito imobiliário";"8,5";"7216,530258716490";"9";"8814,118228152267";"51,14141415405224";"12";"14340,433202569451";"81,47973410550824";"2,21378960824855e-01";"0,05882352941176472";"GERENTES";"14"
"141730";"Gerente de crédito rural";"1,0";"6006,938479453789";NA;NA;NA;"3";"24884,156267073755";"141,38725151746451";NA;NA;"GERENTES";"14"
"141735";"Gerente de recuperação de crédito";"7,0";"7647,370327548919";"1";"4332,445364298761";"24,61616684260660";"68";"14778,733680152491";"84,09099084684651";"-4,33472529937312e-01";"-0,85714285714285721";"GERENTES";"14"
"142105";"Gerente administrativo";"7279,0";"7400,643148158317";"6266";"6224,601164282320";"37,72516988346786";"7306";"8246,006557340294";"49,40146237012457";"-1,58910781175642e-01";"-0,13916746805879932";"GERENTES";"14"
