"tipo_emprego";"ano";"tipo";"filtro";"salario_hora";"salario_mes";"geral"
"Estatutário";"2013";"Média dos trabalhadores não técnicos";"Não Técnico";"109,22207991941340";"16862,376034703997";"Geral"
"Estatutário";"2014";"Média dos trabalhadores não técnicos";"Não Técnico";"105,01656016364669";"16183,622504982823";"Geral"
"Estatutário";"2015";"Média dos trabalhadores não técnicos";"Não Técnico";"108,78227690679324";"16785,836126639126";"Geral"
"Estatutário";"2016";"Média dos trabalhadores não técnicos";"Não Técnico";"102,62698412404706";"15882,037139023114";"Geral"
"Estatutário";"2017";"Média dos trabalhadores não técnicos";"Não Técnico";"104,16483279966393";"16063,825871132978";"Geral"
"Estatutário";"2018";"Média dos trabalhadores não técnicos";"Não Técnico";"97,41121211404671";"14929,490862772760";"Geral"
"Estatutário";"2019";"Média dos trabalhadores não técnicos";"Não Técnico";"109,07741892324343";"16847,513853828310";"Geral"
"Estatutário";"2020";"Média dos trabalhadores não técnicos";"Não Técnico";"97,31293003691906";"14797,197524539466";"Geral"
"Estatutário";"2021";"Média dos trabalhadores não técnicos";"Não Técnico";"102,90979930115031";"15868,919010391794";"Geral"
"Outros";"2012";"Média dos trabalhadores não técnicos";"Não Técnico";"30,97624654784697";"4363,242703321551";"Geral"
"Outros";"2013";"Média dos trabalhadores não técnicos";"Não Técnico";"39,41281782965760";"5062,397928923740";"Geral"
"Outros";"2014";"Média dos trabalhadores não técnicos";"Não Técnico";"37,75333558939053";"4762,556734673799";"Geral"
"Outros";"2015";"Média dos trabalhadores não técnicos";"Não Técnico";"26,13070940431171";"3575,646444635896";"Geral"
"Outros";"2016";"Média dos trabalhadores não técnicos";"Não Técnico";"25,99926142285717";"3897,318373268949";"Geral"
"Outros";"2017";"Média dos trabalhadores não técnicos";"Não Técnico";"22,34710419550199";"3261,714753148389";"Geral"
"Outros";"2018";"Média dos trabalhadores não técnicos";"Não Técnico";"20,89262172429900";"3061,909618570908";"Geral"
"Outros";"2019";"Média dos trabalhadores não técnicos";"Não Técnico";"14,69583487668041";"1976,209818872436";"Geral"
"Outros";"2020";"Média dos trabalhadores não técnicos";"Não Técnico";"15,61360019916582";"2015,738218051713";"Geral"
"Outros";"2021";"Média dos trabalhadores não técnicos";"Não Técnico";"25,03212518942462";"3218,618270820121";"Geral"
"Geral";"2012";"Técnicos de nível médio";"Técnico";"51,06699829859238";"8210,946455837437";"Subgrupo"
"Geral";"2012";"Técnicos de nível superior";"Técnico";"115,56712416910902";"18763,836965152259";"Subgrupo"
"Geral";"2013";"Técnicos de nível médio";"Técnico";"53,32824102533456";"8538,703392784042";"Subgrupo"
"Geral";"2013";"Técnicos de nível superior";"Técnico";"111,10045067942271";"17984,251662397386";"Subgrupo"
"Geral";"2014";"Técnicos de nível médio";"Técnico";"50,88714475491000";"8160,464080436675";"Subgrupo"
"Geral";"2014";"Técnicos de nível superior";"Técnico";"108,59748089940076";"17622,760846694393";"Subgrupo"
"Geral";"2015";"Técnicos de nível médio";"Técnico";"51,31149836615973";"8231,381901127883";"Subgrupo"
"Geral";"2015";"Técnicos de nível superior";"Técnico";"106,89851950921364";"17325,172611364094";"Subgrupo"
"Geral";"2016";"Técnicos de nível médio";"Técnico";"49,84704942030602";"7990,691384891645";"Subgrupo"
"Geral";"2016";"Técnicos de nível superior";"Técnico";"99,48905947249463";"16104,673597010997";"Subgrupo"
"Geral";"2017";"Técnicos de nível médio";"Técnico";"47,97996820313234";"7679,198496177670";"Subgrupo"
"Geral";"2017";"Técnicos de nível superior";"Técnico";"93,54794302717472";"15162,335598077036";"Subgrupo"
"Geral";"2018";"Técnicos de nível médio";"Técnico";"47,22327387872754";"7476,126462147251";"Subgrupo"
"Geral";"2018";"Técnicos de nível superior";"Técnico";"95,08857232588616";"15197,339147493134";"Subgrupo"
"Geral";"2019";"Técnicos de nível médio";"Técnico";"47,13626960542073";"7520,557087914946";"Subgrupo"
"Geral";"2019";"Técnicos de nível superior";"Técnico";"86,96980900256122";"14052,998205364986";"Subgrupo"
"Geral";"2020";"Técnicos de nível médio";"Técnico";"46,78536255927840";"7452,448684726697";"Subgrupo"
"Geral";"2020";"Técnicos de nível superior";"Técnico";"88,69648465091244";"14258,783187425943";"Subgrupo"
"Geral";"2021";"Técnicos de nível médio";"Técnico";"45,29010334711035";"7199,434169344312";"Subgrupo"
"Geral";"2021";"Técnicos de nível superior";"Técnico";"82,68100190142651";"13307,135288326514";"Subgrupo"
"Geral";"2012";"Média dos trabalhadores técnicos";"Técnico";"54,26139165577851";"8733,582386963222";"Geral"
"Geral";"2013";"Média dos trabalhadores técnicos";"Técnico";"56,41779932444021";"9043,835050733738";"Geral"
"Geral";"2014";"Média dos trabalhadores técnicos";"Técnico";"53,82866230611116";"8642,760907523831";"Geral"
"Geral";"2015";"Média dos trabalhadores técnicos";"Técnico";"54,12119517097700";"8691,035866690678";"Geral"
"Geral";"2016";"Média dos trabalhadores técnicos";"Técnico";"52,37988238720569";"8404,682712359807";"Geral"
"Geral";"2017";"Média dos trabalhadores técnicos";"Técnico";"50,39677968064534";"8076,085382318848";"Geral"
"Geral";"2018";"Média dos trabalhadores técnicos";"Técnico";"49,84169165369858";"7898,506791854392";"Geral"
"Geral";"2019";"Média dos trabalhadores técnicos";"Técnico";"49,22535142246747";"7863,152904554153";"Geral"
"Geral";"2020";"Média dos trabalhadores técnicos";"Técnico";"48,96151927407751";"7805,854887949647";"Geral"
"Geral";"2021";"Média dos trabalhadores técnicos";"Técnico";"47,08168214114794";"7492,083670377100";"Geral"
"Geral";"2012";"Até fundamental completo";"Não Técnico";"15,77392532231289";"2646,074445442176";"Subgrupo"
"Geral";"2012";"Médio completo";"Não Técnico";"20,78391959465136";"3391,264910807922";"Subgrupo"
"Geral";"2012";"Superior completo";"Não Técnico";"106,87453817274243";"16192,968366260291";"Subgrupo"
"Geral";"2013";"Até fundamental completo";"Não Técnico";"16,39702704734552";"2750,701416041229";"Subgrupo"
"Geral";"2013";"Médio completo";"Não Técnico";"21,22319778252461";"3451,011748764063";"Subgrupo"
"Geral";"2013";"Superior completo";"Não Técnico";"106,67174284145922";"16076,138230708139";"Subgrupo"
"Geral";"2014";"Até fundamental completo";"Não Técnico";"16,45063270783886";"2758,792470299270";"Subgrupo"
"Geral";"2014";"Médio completo";"Não Técnico";"20,81804736196635";"3373,732152196766";"Subgrupo"
"Geral";"2014";"Superior completo";"Não Técnico";"104,89273647550374";"15752,851760356647";"Subgrupo"
"Geral";"2015";"Até fundamental completo";"Não Técnico";"16,70216060371335";"2790,747150275596";"Subgrupo"
"Geral";"2015";"Médio completo";"Não Técnico";"20,41432725667195";"3330,267853018057";"Subgrupo"
"Geral";"2015";"Superior completo";"Não Técnico";"106,45034548566963";"16022,942355572821";"Subgrupo"
