"cbo_familia";"mediana_rendimento_base";"mediana_salario_hora_base";"vinculos_base";"referencia";"mediana_rendimento_recente";"mediana_salario_hora_recente";"vinculos_recente";"nome_cbo_familia";"variacao_rendimento";"variacao_vinculos"
"8418";"1480,04862912354";"8,40936721092920";"189";"2021";"1272,46033737437";"7,41396917697384";"267";"Operadores de equipamentos na fabricação de pães, massas alimentícias, doces, chocolates e achocolatados";"-0,1402577507687010616";"0,412698412698412787"
"8481";"1770,41727826038";"10,05918908102489";"335";"2021";"1834,13546150592";"10,45934925199222";"292";"Trabalhadores artesanais na conservação de alimentos";"0,0359904888118534050";"-0,128358208955223874"
"8483";"1873,60105396528";"10,72524329922811";"3287";"2021";"1902,04918432629";"10,84129009435622";"3226";"Padeiros, confeiteiros e afins";"0,0151836647939502800";"-0,018557955582598096"
"8485";"1905,50255533320";"10,82744436225983";"4104";"2021";"1859,22137685921";"10,56375782306367";"4100";"Magarefes e afins";"-0,0242881744474477967";"-0,000974658869395739"
"8621";"2410,36789436956";"13,98278679506740";"751";"2021";"2256,90816048209";"12,97920418463661";"776";"Operadores de máquinas a vapor e utilidades";"-0,0636665192255239099";"0,033288948069241098"
"8623";"16450,10375920502";"99,24916665052115";"339";"2021";"17781,57097317210";"108,70457250093145";"343";"Operadores de instalações de captação e esgotos";"0,0809397456366820478";"0,011799410029498469"
"8625";"2735,13887191861";"16,22544076691680";"151";"2021";"2286,33708813959";"13,20035942991646";"124";"Operadores de instalações de refrigeração e ar-condicionado";"-0,1640873845152172050";"-0,178807947019867575"
"9101";"3733,02108404131";"21,21034706841651";"302";"2021";"3538,53003476097";"20,10528428841460";"308";"Supervisores em serviços de reparação e manutenção de máquinas e equipamentos industriais, comerciais e residenciais";"-0,0521001743364876146";"0,019867549668874274"
"9102";"3211,70018700578";"18,24829651707830";"136";"2021";"3487,09017126486";"19,81301233673214";"130";"Supervisores em serviços de reparação e manutenção veicular";"0,0857458567811764105";"-0,044117647058823484"
"9111";"2364,74375736412";"13,62099503193509";"165";"2021";"2340,13337923628";"13,83404560781961";"143";"Mecânicos de manutenção de bombas, motores, compressores e equipamentos de transmissão";"-0,0104072071450457271";"-0,133333333333333304"
"9112";"2117,75372303748";"12,12256260746574";"610";"2021";"2141,29527089479";"12,33678226947590";"715";"Mecânicos de manutenção e instalação de aparelhos de  climatização e refrigeração";"0,0111162821253567579";"0,172131147540983687"
"9113";"4129,99691481377";"23,58029081586768";"670";"2021";"3595,43300619206";"20,89108036557566";"695";"Mecânicos de manutenção de máquinas industriais";"-0,1294344571310185321";"0,037313432835820892"
"9131";"3392,93181554804";"19,27802167925021";"128";"2021";"3275,75137300638";"18,72398711167209";"156";"Mecânicos de manutenção de máquinas pesadas e equipamentos agrícolas";"-0,0345366334816042952";"0,218750000000000000"
"9141";"4108,86463617027";"26,69337915326052";"153";"2021";"3976,63536355079";"22,66086268269643";"172";"Mecânicos de manutenção aeronáutica";"-0,0321814623571360370";"0,124183006535947715"
"9143";"3547,51890166006";"22,17199313537535";"408";"2021";"3439,41213837774";"20,18912935425777";"569";"Mecânicos de manutenção metroferroviária";"-0,0304739076180039481";"0,394607843137254832"
"9144";"2010,08470532505";"11,58418718826552";"3019";"2021";"1910,03250743050";"10,92447472645484";"3205";"Mecânicos de manutenção de veículos automotores";"-0,0497751152623057136";"0,061609804571050031"
"9191";"2241,07176752133";"12,79204550649324";"207";"2021";"1918,75023285866";"10,90198995942421";"225";"Lubrificadores";"-0,1438247267820280673";"0,086956521739130377"
"9192";"3488,88001973497";"20,69392839372568";"263";"2021";"2732,89068538979";"15,91741387474266";"233";"Trabalhadores de manutenção de roçadeiras, motoserras e similares";"-0,2166853918933593359";"-0,114068441064638759"
"9193";"1635,22755829477";"9,29106567212935";"125";"2021";"1488,98750313009";"8,46015626778462";"124";"Mecânicos de manutenção de bicicletas e equipamentos esportivos e de ginástica";"-0,0894310118630663453";"-0,008000000000000007"
"9501";"4259,91226869291";"25,18792672459067";"225";"2021";"3912,09777803261";"23,47631823893126";"254";"Supervisores de manutenção eletroeletrônica industrial, comercial e predial";"-0,0816482755329185350";"0,128888888888888831"
"9511";"2823,67163071664";"16,83535033662227";"1447";"2021";"2703,85801797903";"15,73825621167354";"1493";"Eletricistas de manutenção eletroeletrônica";"-0,0424318505856876582";"0,031789910158949608"
"9513";"1973,04229267814";"11,63832737720445";"468";"2021";"1822,69146558023";"10,90994518407457";"497";"Instaladores e mantenedores de sistemas eletroeletrônicos de segurança";"-0,0762025363854859084";"0,061965811965811968"
"9531";"2916,27766233393";"17,06252869958993";"283";"2021";"2677,16592775899";"15,42172832973641";"301";"Eletricistas eletrônicos de manutenção veicular (aérea, terrestre e naval)";"-0,0819921016655131840";"0,063604240282685520"
"9541";"3142,61701580055";"20,22611786333614";"484";"2021";"3228,16844257848";"20,18912935425777";"519";"Instaladores e mantenedores eletromecânicos de elevadores, escadas e portas automáticas";"0,0272229884671895128";"0,072314049586776896"
"9913";"2190,38795259796";"12,49859658325279";"717";"2021";"2038,61103229096";"11,76472656782625";"767";"Reparadores de carrocerias de veículos";"-0,0692922548843399877";"0,069735006973500768"
"9921";"1860,41223755763";"10,71832000140983";"558";"2021";"1725,44391756159";"9,96084185371377";"561";"Trabalhadores elementares de serviços de manutenção veicular";"-0,0725475339665753172";"0,005376344086021501"
"9922";"1969,55506053515";"11,21181926351367";"2186";"2021";"1851,32787274425";"10,54106291802341";"2205";"Trabalhadores operacionais de conservação de vias permanentes (exceto trilhos)";"-0,0600273585440047608";"0,008691674290942419"
